start,end,shape.index
71246,71250,1.03592123519
107909,107918,1.11870910077
113449,113470,1.04556599708
113908,113912,1.70252775108
132115,132127,1.44137062655
156172,156187,1.03591367167
160485,160504,1.40832722142
190037,190041,1.02904940555
200629,200633,1.02013124335
200810,200814,1.0
295830,295850,1.01477186397
296695,296699,1.11870910077
419940,419949,1.84625781967
419975,419979,1.88624604269
420046,420063,0.642673996536
420285,420289,1.02397935176
420369,420381,1.08170416595
559647,559651,1.04556599708
569978,569982,1.08170416595
821535,821547,1.04556599708
822854,822872,1.05971404133
823782,823789,1.04556599708
872937,872941,1.04556599708
1130385,1130389,1.64089837435
1556480,1556484,1.04556599708
1695464,1695468,1.0
1696851,1696884,1.51785388734
1697525,1697530,1.02904940555
1710460,1710483,0.618561706796
1942405,1942411,1.08170416595
2042649,2042663,1.01477186397
2155747,2155751,1.7254273346
2224082,2224095,1.15464906338
2580256,2580260,1.12601895187
2745747,2745760,1.03592123519
2745892,2745896,1.03876339528
2752792,2752798,0.804733682247
2753469,2753473,1.25040474274
2756238,2756242,1.00676618026
2756282,2756286,1.0
2756927,2756931,1.00249745363
2763430,2763434,1.0
2766273,2766294,0.675624720824
2812076,2812080,1.01477186397
2856084,2856101,1.15464906338
2856638,2856655,1.03436386663
2865285,2865305,1.25040474274
2866570,2866590,1.38061780532
2879111,2879121,1.8181868283
2998230,2998234,1.49674166522
3067927,3067931,1.11870910077
3473645,3473649,1.0543396954
3547809,3547827,1.02904940555
3784005,3784009,1.01477186397
4228353,4228361,1.00249745363
4342878,4342893,1.0
4379596,4379616,1.01477186397
4812998,4813010,1.30378773987
4892187,4892191,1.02904940555
4973972,4974005,0.720413937561
5011079,5011086,1.75072020573
5011924,5011935,1.0
5034354,5034363,1.02013124335
5036641,5036660,1.10043236761
5036683,5036690,0.848886448806
5036766,5036777,0.845651786843
5038712,5038716,1.0
5046300,5046321,1.27807190511
5048089,5048093,1.01477186397
5055892,5055896,1.01477186397
5071234,5071239,1.25751243046
5094052,5094065,1.08170416595
5201970,5201980,1.18872187554
5242706,5242725,1.48405306999
5280631,5280648,1.15464906338
5327781,5327801,1.47063913471
5520295,5520302,1.25700665952
5542555,5542561,1.84209362567
5543300,5543319,1.01477186397
5543576,5543580,1.0543396954
5543621,5543625,1.04556599708
5544147,5544163,0.858846472121
5544227,5544241,0.651412103988
5544264,5544280,0.84106146765
5544648,5544667,1.11870910077
5544702,5544706,1.16335925806
5545457,5545476,0.498867915535
5983121,5983136,1.01477186397
5983171,5983179,0.596612831351
5984123,5984144,1.72133019644
5984173,5984183,1.25040474274
5984338,5984361,0.86168486494
5984784,5984788,1.11870910077
5984880,5984898,1.17947947901
5985110,5985127,1.00305818369
5985504,5985532,0.980908653148
6050834,6050854,1.05943376001
6052588,6052593,1.0
6052852,6052856,1.01477186397
6327878,6327882,1.01477186397
6342214,6342221,1.0
6342307,6342312,1.0
6374230,6374240,1.22065016271
6375802,6375806,1.36569044536
6377162,6377180,1.11870910077
6557777,6557781,1.05671203391
6653465,6653469,1.15464906338
6653740,6653745,1.25040474274
6718046,6718050,1.03876339528
6728747,6728751,1.0
6857918,6857922,1.11870910077
6911058,6911060,1.08170416595
6925496,6925504,0.633685342964
6925723,6925727,1.59402296152
6927137,6927165,0.549496327994
6927318,6927336,1.43349049345
6957878,6957888,1.0
7033926,7033943,1.01477186397
7061184,7061195,0.551184364275
7402898,7402902,1.01477186397
7405209,7405228,0.915737577918
7427322,7427327,1.0
7440843,7440850,1.18872187554
7818128,7818144,0.59436093777
7818233,7818249,1.01130059171
7818372,7818386,1.06593194462
8036066,8036070,1.27807190511
8040204,8040222,1.00351401011
8089297,8089301,1.0
8184160,8184164,1.71360304288
8184196,8184217,1.0
8329644,8329651,0.542734086377
